[WORKERS.JS] <2021-12-26><0:3> 2345678901 <2/3> [207] SENSOR ID=[35] MODNUS CMND=[AT+TXH=207,2303000200026349]
[WORKERS.JS] <2021-12-26><0:3> 4820125367 <1/3> [5] SENSOR ID=[2] MODNUS CMND=[AT+TXH=5,020300A00002C41A]
[SERVER.JS] 1010 <00:04> ..<200|3>  DTU=[5] SNR.ID=[2]...|.0000.0BED.|<0,3053>

[WORKERS.JS] <2021-12-26><0:3> 4820125367 <0/3> [6] SENSOR ID=[1] MODNUS CMND=[AT+TXH=6,010300A00002C429]
[WORKERS.JS] <2021-12-26><0:3> 4820125367 <1/3> [6] SENSOR ID=[1] MODNUS CMND=[AT+TXH=6,010300A00002C429]
[SERVER.JS] 1010 <00:04> ..<200|3>  DTU=[6] SNR.ID=[1]...|.0000.0BF5.|<0,3061>

[WORKERS.JS] <2021-12-26><0:3> 4820125367 <0/3> [6] SENSOR ID=[2] MODNUS CMND=[AT+TXH=6,020300A00002C41A]
[WORKERS.JS] <2021-12-26><0:3> 4820125367 <1/3> [6] SENSOR ID=[2] MODNUS CMND=[AT+TXH=6,020300A00002C41A]
[WORKERS.JS] <2021-12-26><0:3> 4820125367 <0/3> [7] SENSOR ID=[1] MODNUS CMND=[AT+TXH=7,010300A00002C429]
[WORKERS.JS] <2021-12-26><0:3> 4820125367 <1/3> [7] SENSOR ID=[1] MODNUS CMND=[AT+TXH=7,010300A00002C429]
[WORKERS.JS] <2021-12-26><0:3> 4820125367 <1/3> [7] SENSOR ID=[2] MODNUS CMND=[AT+TXH=7,020300A00002C41A]
[WORKERS.JS] <2021-12-26><0:3> 4820125367 <0/3> [7] SENSOR ID=[2] MODNUS CMND=[AT+TXH=7,020300A00002C41A]
[WORKERS.JS] <2021-12-26><0:3> 2345678901 <2/3> [100] SENSOR ID=[13] MODNUS CMND=[AT+TXH=100,0D0300A00002C4E5]
